Algoritmo,Tamaño,Semilla,Éxito,Tiempo,Nodos
Forward Checking,8,20,1,0.0007147789001464844,21
Forward Checking,8,21,1,0.00035190582275390625,8
Forward Checking,8,22,1,0.00034427642822265625,8
Forward Checking,8,23,1,0.00045871734619140625,12
Forward Checking,8,24,1,0.0003921985626220703,10
Forward Checking,8,25,1,0.0005817413330078125,16
Forward Checking,8,26,1,0.0006566047668457031,19
Forward Checking,8,27,1,0.00035500526428222656,8
Forward Checking,8,28,1,0.000469207763671875,13
Forward Checking,8,29,1,0.0003418922424316406,8
Backtracking,10,0,1,0.004532814025878906,4425
Backtracking,10,1,1,0.00017142295837402344,138
Backtracking,10,2,1,0.0013408660888671875,1233
Backtracking,10,3,1,0.0005853176116943359,537
Backtracking,10,4,1,0.0018775463104248047,1790
Backtracking,10,5,1,0.0004506111145019531,423
Backtracking,10,6,1,0.0003619194030761719,311
Backtracking,10,7,1,9.34600830078125e-05,67
Backtracking,10,8,1,0.00018596649169921875,163
Backtracking,10,9,1,5.745887756347656e-05,29
Backtracking,10,10,1,0.00016617774963378906,134
Backtracking,10,11,1,0.0006062984466552734,564
Backtracking,10,12,1,0.001703023910522461,1628
Backtracking,10,13,1,0.0010309219360351562,873
Backtracking,10,14,1,6.031990051269531e-05,30
Backtracking,10,15,1,0.0005605220794677734,500
Backtracking,10,16,1,0.0002300739288330078,184
Backtracking,10,17,1,0.0005109310150146484,467
Backtracking,10,18,1,0.0012903213500976562,1223
Backtracking,10,19,1,0.002029895782470703,1977
Backtracking,10,20,1,0.0002815723419189453,236
Backtracking,10,21,1,0.0004169940948486328,391
Backtracking,10,22,1,0.00010633468627929688,77
Backtracking,10,23,1,0.001956939697265625,1891
Backtracking,10,24,1,5.698204040527344e-05,29
Backtracking,10,25,1,8.988380432128906e-05,61
Backtracking,10,26,1,0.0003948211669921875,345
Backtracking,10,27,1,7.605552673339844e-05,53
Backtracking,10,28,1,6.29425048828125e-05,37
Backtracking,10,29,1,6.222724914550781e-05,35
Forward Checking,10,0,1,0.011467695236206055,276
Forward Checking,10,1,1,0.0007390975952148438,13
Forward Checking,10,2,1,0.0025386810302734375,58
Forward Checking,10,3,1,0.0006477832794189453,11
Forward Checking,10,4,1,0.0022585391998291016,52
Forward Checking,10,5,1,0.0023882389068603516,56
Forward Checking,10,6,1,0.0015990734100341797,35
Forward Checking,10,7,1,0.0007390975952148438,14
Forward Checking,10,8,1,0.0012750625610351562,27
Forward Checking,10,9,1,0.002605438232421875,60
Forward Checking,10,10,1,0.0006401538848876953,11
Forward Checking,10,11,1,0.0010466575622558594,21
Forward Checking,10,12,1,0.002722501754760742,63
Forward Checking,10,13,1,0.001331329345703125,29
Forward Checking,10,14,1,0.002276897430419922,48
Forward Checking,10,15,1,0.0008151531219482422,15
Forward Checking,10,16,1,0.002274036407470703,50
Forward Checking,10,17,1,0.0022504329681396484,52
Forward Checking,10,18,1,0.0007038116455078125,12
Forward Checking,10,19,1,0.0016498565673828125,35
Forward Checking,10,20,1,0.0008134841918945312,16
Forward Checking,10,21,1,0.0006895065307617188,12
Forward Checking,10,22,1,0.001071929931640625,22
Forward Checking,10,23,1,0.0010056495666503906,20
Forward Checking,10,24,1,0.002414226531982422,57
Forward Checking,10,25,1,0.0048673152923583984,118
Forward Checking,10,26,1,0.016155242919921875,390
Forward Checking,10,27,1,0.0010006427764892578,19
Forward Checking,10,28,1,0.0027129650115966797,63
Forward Checking,10,29,1,0.0018379688262939453,41
