algorithm_name,env_n,size,best_solution,H,states,time
Hill Climbing,21,4,"[1, 2, 0, 2]",0,2,0.0
Simulated Annealing,21,4,"[1, 2, 0, 2]",0,22,0.0001
Genetic Algorithm,21,4,"[1, 3, 0, 2]",0,201,0.0026
Random,22,4,"[1, 3, 3, 2]",0,81,0.0003
Hill Climbing,22,4,"[1, 3, 3, 2]",0,2,0.0
Simulated Annealing,22,4,"[1, 3, 3, 2]",0,205,0.001
Genetic Algorithm,22,4,"[1, 3, 0, 2]",0,201,0.0026
Random,23,4,"[1, 1, 0, 3]",0,57,0.0002
Hill Climbing,23,4,"[1, 1, 0, 3]",0,503,0.012
Simulated Annealing,23,4,"[1, 1, 0, 3]",0,135,0.0007
Genetic Algorithm,23,4,"[2, 0, 3, 1]",0,201,0.0026
Random,24,4,"[2, 0, 0, 2]",0,154,0.0005
Hill Climbing,24,4,"[2, 0, 0, 2]",0,5,0.0001
Simulated Annealing,24,4,"[2, 0, 0, 2]",0,141,0.0007
Genetic Algorithm,24,4,"[2, 0, 3, 1]",0,201,0.0026
Random,25,4,"[3, 1, 1, 1]",0,236,0.0007
Hill Climbing,25,4,"[3, 1, 1, 1]",0,5,0.0
Simulated Annealing,25,4,"[3, 1, 1, 1]",0,26,0.0001
Genetic Algorithm,25,4,"[1, 3, 0, 2]",0,201,0.0026
Random,26,4,"[3, 0, 1, 2]",0,677,0.002
Hill Climbing,26,4,"[3, 0, 1, 2]",0,5,0.0
Simulated Annealing,26,4,"[3, 0, 1, 2]",0,117,0.0005
Genetic Algorithm,26,4,"[2, 0, 3, 1]",0,201,0.0026
Random,27,4,"[1, 1, 3, 0]",0,29,0.0001
Hill Climbing,27,4,"[1, 1, 3, 0]",0,203,0.0039
Simulated Annealing,27,4,"[1, 1, 3, 0]",0,341,0.0017
Genetic Algorithm,27,4,"[1, 3, 0, 2]",0,201,0.0026
Random,28,4,"[3, 2, 2, 1]",0,238,0.0007
Hill Climbing,28,4,"[3, 2, 2, 1]",0,4,0.0
Simulated Annealing,28,4,"[3, 2, 2, 1]",0,94,0.0004
Genetic Algorithm,28,4,"[2, 0, 3, 1]",0,201,0.0026
Random,29,4,"[0, 1, 1, 1]",0,52,0.0002
Hill Climbing,29,4,"[0, 1, 1, 1]",0,5,0.0001
Simulated Annealing,29,4,"[0, 1, 1, 1]",0,408,0.0019
Genetic Algorithm,29,4,"[1, 3, 0, 2]",0,402,0.0249
Random,30,4,"[0, 2, 2, 0]",0,41,0.0001
Hill Climbing,30,4,"[0, 2, 2, 0]",0,101,0.0011
Simulated Annealing,30,4,"[0, 2, 2, 0]",0,74,0.0003
Genetic Algorithm,30,4,"[2, 0, 3, 1]",0,201,0.0026
Random,31,8,"[6, 6, 0, 4, 7, 6, 4, 7]",9,3000,0.018
Hill Climbing,31,8,"[6, 6, 0, 4, 7, 6, 4, 7]",9,3000,0.529
Simulated Annealing,31,8,"[6, 6, 0, 4, 7, 6, 4, 7]",0,912,0.008
Genetic Algorithm,31,8,"[2, 5, 1, 6, 0, 3, 7, 4]",0,2613,0.5323
Random,32,8,"[2, 1, 4, 1, 7, 7, 7, 6]",9,3000,0.0179
Hill Climbing,32,8,"[2, 1, 4, 1, 7, 7, 7, 6]",0,706,0.1142
Simulated Annealing,32,8,"[2, 1, 4, 1, 7, 7, 7, 6]",0,880,0.0078
Genetic Algorithm,32,8,"[3, 0, 4, 7, 1, 6, 2, 5]",0,4221,0.8813
Random,33,8,"[0, 1, 1, 5, 2, 4, 4, 3]",6,3000,0.0182
Hill Climbing,33,8,"[0, 1, 1, 5, 2, 4, 4, 3]",0,403,0.0585
Simulated Annealing,33,8,"[0, 1, 1, 5, 2, 4, 4, 3]",0,708,0.0068
Genetic Algorithm,33,8,"[5, 2, 4, 7, 0, 3, 1, 6]",0,6834,1.4547
Random,34,8,"[3, 2, 5, 7, 1, 0, 7, 4]",7,3000,0.0181
Hill Climbing,34,8,"[3, 2, 5, 7, 1, 0, 7, 4]",0,1603,0.2765
Simulated Annealing,34,8,"[3, 2, 5, 7, 1, 0, 7, 4]",1,1147,0.0093
