algorithm_name,env_n,size,best_solution,H,states,time
Hill Climbing,80,10,"[0, 8, 1, 8, 3, 6, 5, 8, 4, 9]",0,1408,0.4479
Simulated Annealing,80,10,"[0, 8, 1, 8, 3, 6, 5, 8, 4, 9]",2,1147,0.0135
Genetic Algorithm,80,10,"[2, 0, 7, 4, 8, 5, 9, 1, 3, 6]",1,603000,183.9195
Random,81,10,"[2, 4, 1, 5, 9, 2, 0, 6, 6, 1]",10,3000,0.0253
Hill Climbing,81,10,"[2, 4, 1, 5, 9, 2, 0, 6, 6, 1]",0,2606,0.8509
Simulated Annealing,81,10,"[2, 4, 1, 5, 9, 2, 0, 6, 6, 1]",1,1147,0.0135
Genetic Algorithm,81,10,"[8, 6, 3, 0, 2, 7, 9, 3, 1, 4]",1,603000,183.9374
Random,82,10,"[2, 6, 6, 4, 7, 3, 7, 8, 2, 8]",10,3000,0.0253
Hill Climbing,82,10,"[2, 6, 6, 4, 7, 3, 7, 8, 2, 8]",0,1907,0.6149
Simulated Annealing,82,10,"[2, 6, 6, 4, 7, 3, 7, 8, 2, 8]",2,1147,0.0135
Genetic Algorithm,82,10,"[2, 8, 5, 9, 1, 6, 0, 3, 7, 4]",0,4221,1.2147
Random,83,10,"[2, 3, 0, 9, 7, 2, 1, 5, 1, 3]",11,3000,0.0249
Hill Climbing,83,10,"[2, 3, 0, 9, 7, 2, 1, 5, 1, 3]",0,104,0.01
Simulated Annealing,83,10,"[2, 3, 0, 9, 7, 2, 1, 5, 1, 3]",0,793,0.0102
Genetic Algorithm,83,10,"[1, 7, 4, 8, 0, 5, 9, 2, 6, 3]",0,351147,106.9202
Random,84,10,"[4, 1, 0, 9, 4, 6, 6, 8, 5, 2]",13,3000,0.0254
Hill Climbing,84,10,"[4, 1, 0, 9, 4, 6, 6, 8, 5, 2]",0,306,0.0766
Simulated Annealing,84,10,"[4, 1, 0, 9, 4, 6, 6, 8, 5, 2]",1,1147,0.0134
Genetic Algorithm,84,10,"[0, 4, 6, 1, 9, 7, 3, 8, 2, 5]",0,57084,17.5815
Random,85,10,"[6, 9, 2, 3, 2, 3, 2, 1, 2, 4]",12,3000,0.0252
Hill Climbing,85,10,"[6, 9, 2, 3, 2, 3, 2, 1, 2, 4]",13,3000,0.9799
Simulated Annealing,85,10,"[6, 9, 2, 3, 2, 3, 2, 1, 2, 4]",1,1147,0.0135
Genetic Algorithm,85,10,"[8, 4, 7, 3, 0, 2, 5, 9, 6, 1]",0,5829,1.6995
Random,86,10,"[6, 0, 3, 4, 7, 0, 4, 0, 4, 9]",5,3000,0.0253
Hill Climbing,86,10,"[6, 0, 3, 4, 7, 0, 4, 0, 4, 9]",0,1105,0.3461
Simulated Annealing,86,10,"[6, 0, 3, 4, 7, 0, 4, 0, 4, 9]",1,1147,0.0134
Genetic Algorithm,86,10,"[5, 1, 9, 7, 3, 8, 0, 2, 4, 6]",0,6834,2.0006
Random,87,10,"[3, 3, 6, 9, 8, 0, 2, 7, 0, 9]",10,3000,0.025
Hill Climbing,87,10,"[3, 3, 6, 9, 8, 0, 2, 7, 0, 9]",0,706,0.2168
Simulated Annealing,87,10,"[3, 3, 6, 9, 8, 0, 2, 7, 0, 9]",1,1147,0.0133
Genetic Algorithm,87,10,"[4, 7, 3, 0, 2, 8, 6, 9, 1, 5]",0,29145,8.8043
Random,88,10,"[7, 4, 4, 3, 1, 1, 4, 8, 5, 4]",11,3000,0.0256
Hill Climbing,88,10,"[7, 4, 4, 3, 1, 1, 4, 8, 5, 4]",10,3000,0.9801
Simulated Annealing,88,10,"[7, 4, 4, 3, 1, 1, 4, 8, 5, 4]",1,1147,0.0133
Genetic Algorithm,88,10,"[1, 7, 2, 8, 6, 4, 9, 0, 5, 3]",0,148941,45.4882
Random,89,10,"[1, 2, 8, 9, 2, 3, 2, 7, 6, 3]",13,3000,0.0253
Hill Climbing,89,10,"[1, 2, 8, 9, 2, 3, 2, 7, 6, 3]",0,905,0.2781
Simulated Annealing,89,10,"[1, 2, 8, 9, 2, 3, 2, 7, 6, 3]",1,1147,0.0134
Genetic Algorithm,89,10,"[6, 8, 2, 0, 9, 7, 4, 1, 3, 5]",0,17688,5.3016
Random,90,10,"[8, 1, 5, 9, 9, 4, 1, 8, 5, 6]",5,3000,0.0251
Hill Climbing,90,10,"[8, 1, 5, 9, 9, 4, 1, 8, 5, 6]",0,8,0.0007
Simulated Annealing,90,10,"[8, 1, 5, 9, 9, 4, 1, 8, 5, 6]",1,1147,0.0131
Genetic Algorithm,90,10,"[3, 7, 4, 1, 5, 9, 6, 0, 2, 8]",0,4422,1.2769
