algorithm_name,env_n,size,best_solution,H,states,time
Random,1,4,"[3, 3, 0, 2]",0,302,0.0009
Hill Climbing,1,4,"[3, 3, 0, 2]",0,2,0.0
Simulated Annealing,1,4,"[3, 3, 0, 2]",3,45,0.0002
Genetic Algorithm,1,4,"[1, 3, 0, 2]",0,1,0.0226
Random,2,4,"[1, 0, 2, 0]",0,421,0.0014
Hill Climbing,2,4,"[1, 0, 2, 0]",1,10000,0.088
Simulated Annealing,2,4,"[1, 0, 2, 0]",1,45,0.0002
Genetic Algorithm,2,4,"[1, 3, 0, 2]",0,2,0.0101
Random,3,4,"[0, 0, 0, 2]",0,446,0.0014
Hill Climbing,3,4,"[0, 0, 0, 2]",0,3,0.0
Simulated Annealing,3,4,"[0, 0, 0, 2]",1,45,0.0002
Genetic Algorithm,3,4,"[1, 3, 0, 2]",0,3,0.0149
Random,4,4,"[1, 1, 2, 3]",0,14,0.0001
Hill Climbing,4,4,"[1, 1, 2, 3]",1,10000,0.0881
Simulated Annealing,4,4,"[1, 1, 2, 3]",2,45,0.0002
Genetic Algorithm,4,4,"[1, 3, 0, 2]",0,1,0.0053
Random,5,4,"[1, 2, 0, 3]",0,12,0.0
Hill Climbing,5,4,"[1, 2, 0, 3]",2,10000,0.0892
Simulated Annealing,5,4,"[1, 2, 0, 3]",1,45,0.0002
Genetic Algorithm,5,4,"[2, 0, 3, 1]",0,2,0.0101
Random,6,4,"[2, 2, 0, 3]",0,102,0.0004
Hill Climbing,6,4,"[2, 2, 0, 3]",1,10000,0.0875
Simulated Annealing,6,4,"[2, 2, 0, 3]",3,45,0.0002
Genetic Algorithm,6,4,"[2, 0, 3, 1]",0,1,0.0054
Random,7,4,"[0, 3, 2, 0]",0,4,0.0
Hill Climbing,7,4,"[0, 3, 2, 0]",1,10000,0.088
Simulated Annealing,7,4,"[0, 3, 2, 0]",2,45,0.0002
Genetic Algorithm,7,4,"[1, 3, 0, 2]",0,1,0.0053
Random,8,4,"[2, 1, 3, 0]",0,93,0.0003
Hill Climbing,8,4,"[2, 1, 3, 0]",2,10000,0.0871
Simulated Annealing,8,4,"[2, 1, 3, 0]",4,45,0.0002
Genetic Algorithm,8,4,"[1, 3, 0, 2]",0,3,0.0147
Random,9,4,"[1, 2, 3, 1]",0,7,0.0
Hill Climbing,9,4,"[1, 2, 3, 1]",0,4,0.0
Simulated Annealing,9,4,"[1, 2, 3, 1]",2,45,0.0002
Genetic Algorithm,9,4,"[2, 0, 3, 1]",0,1,0.0052
Random,10,4,"[3, 2, 2, 1]",0,4,0.0
Hill Climbing,10,4,"[3, 2, 2, 1]",0,4,0.0
Simulated Annealing,10,4,"[3, 2, 2, 1]",2,45,0.0002
Genetic Algorithm,10,4,"[1, 3, 0, 2]",0,2,0.0099
Random,11,4,"[0, 3, 3, 0]",0,25,0.0001
Hill Climbing,11,4,"[0, 3, 3, 0]",1,10000,0.0877
Simulated Annealing,11,4,"[0, 3, 3, 0]",0,42,0.0002
Genetic Algorithm,11,4,"[2, 0, 3, 1]",0,7,0.0342
Random,12,4,"[3, 3, 3, 1]",0,4,0.0
Hill Climbing,12,4,"[3, 3, 3, 1]",0,3,0.0
Simulated Annealing,12,4,"[3, 3, 3, 1]",4,45,0.0002
Genetic Algorithm,12,4,"[1, 3, 0, 2]",0,1,0.0052
Random,13,4,"[3, 2, 2, 1]",0,277,0.0008
Hill Climbing,13,4,"[3, 2, 2, 1]",0,4,0.0
Simulated Annealing,13,4,"[3, 2, 2, 1]",2,45,0.0002
Genetic Algorithm,13,4,"[2, 0, 3, 1]",0,1,0.0052
Random,14,4,"[2, 2, 1, 1]",0,278,0.0009
Hill Climbing,14,4,"[2, 2, 1, 1]",0,3,0.0
